2019年10月03日 14:07,颜色分类:满天星尺码:39（女）,鞋头款式：非常好看湿湿的一双鞋子超级棒卖家服务很好，一起买了两双，老公一双，老公因为出差回来试穿了一下大了，运保险也失效了，但是老板还是帮我们免费的换了，非常感谢，下次还来哦  。质量没的说。 
2019年09月28日 14:33,,"评价方未及时做出评价,系统默认好评!"
2019年09月28日 12:13,颜色分类:满天星尺码:40（男）,鞋子收到好几天了，做工非常棒，三百块钱物超所值，好评哦，还会再光顾的。
2019年09月25日 16:30,颜色分类:海盐亚洲限定尺码:41（男）,此用户没有填写评价。
2019年10月02日 17:45,颜色分类:灰橙欧洲限定尺码:40（男）,鞋子非常棒，还好搭衣服，穿着也很舒服
2019年09月29日 12:39,颜色分类:满天星尺码:38（女）,风格：很潮！很酷！买它就对了！ 
2019年09月16日 23:24,颜色分类:满天星尺码:42（男）,穿起来的感觉和正版差不多，很轻，软度和正版没什么区别，正版也谈不上什么踩屎感，都一样，不足方面就是满天星颜色太白，鞋后跟也不是黄色，人家一看就能辨认出假鞋，在学校穿，大多数同学都是富二代穿正版椰子，被认出难免会尴尬。
2019年09月25日 16:46,颜色分类:满天星尺码:42（男）,穿起来还可以 毕竟价格在那边呢 感觉不错 朋友以为是真品呢
2019年10月03日 15:26,颜色分类:满天星尺码:42（男）,上脚效果很好，不过建议平常穿多大码就选多大码，不要特意选大了，大了也不好。前面空的，我是不想来回折腾不换了
2019年10月07日 16:59,颜色分类:满天星尺码:42（男）,此用户没有填写评价。
2019年09月30日 20:28,颜色分类:满天星尺码:37（女）,鞋头款式：不错，女朋友很喜欢 
2019年09月20日 22:14,颜色分类:满天星尺码:44（男）,之前还有点不放心，货到之后真的没得说，绝对性价比超高的。
2019年09月25日 15:23,颜色分类:满天星尺码:41（男）,很满意的一次购物  太好看了 有档次
2019年09月25日 20:56,颜色分类:天使尺码:42（男）,质量很好，穿着也舒服，大小正好
2019年09月26日 14:53,颜色分类:黑色满天星尺码:42（男）,挺好的宝贝   棒棒的    下次还来
2019年09月24日 17:25,颜色分类:纯白冰激凌尺码:37（女）,样子很漂亮，还是挺满意的
2019年09月26日 19:40,颜色分类:芝麻灰尺码:42（男）,挺不错的细节做的还可以
2019年09月24日 16:20,颜色分类:满天星尺码:42（男）,东西挺好的
2019年09月23日 10:14,颜色分类:灰橙欧洲限定尺码:36（女）,物流很快，同事推荐的，说你们家的鞋子好穿，果然没让我失望，上脚很时尚，舒适感特好！以后有需要会优先考虑你家的！
2019年09月26日 11:42,颜色分类:满天星尺码:43（男）,不错的，虽然a货，但做工已经挺好的，莆田牛逼
2019年09月12日 21:15,颜色分类:天使尺码:41（男）,鞋头款式：很喜欢的 鞋面材质：看着舒服摸着也舒服 鞋底材质：很柔软，也很劳 风格：很潮的一款鞋子 
2019年09月25日 13:54,颜色分类:满天星尺码:37（女）,还可以
2019年08月20日 14:12,,"评价方未及时做出评价,系统默认好评!"
2019年09月26日 21:21,颜色分类:满天星尺码:43（男）,好看舒服！感觉很 nice
2019年09月09日 17:29,颜色分类:芝麻灰尺码:39（女）,鞋头款式：很喜欢 鞋面材质：透气舒服 鞋底材质：软硬适中  风格：是我喜欢的风格  
2019年08月11日 15:20,,"评价方未及时做出评价,系统默认好评!"
2019年09月15日 22:53,颜色分类:黑色满天星尺码:41（男）,第二次买了 上次给自己买的 现在给男朋友买的 真的很舒服 强推
2019年09月19日 22:20,颜色分类:黑色满天星尺码:44（男）,鞋子看着比较肥，但上脚效果还好，跟同等价位的相比还是这个穿着舒服，鞋子整体还不错，儿子很喜欢
2019年09月24日 14:08,颜色分类:满天星尺码:42（男）,到货快质量好
2019年09月24日 22:43,颜色分类:黑色满天星尺码:42（男）,速度很快，还是挺舒服的！
2019年09月08日 19:05,颜色分类:灰橙欧洲限定尺码:40（女）,鞋子轻便透气，味道不大，颜色质量都挺满意，已经关注，会经常来的，希望店家质量一如既往，多多搞活动，全五星
2019年09月17日 20:42,颜色分类:满天星尺码:39（女）,穿着很舒服，值这个价，推荐购买！
2019年09月08日 16:13,颜色分类:兵马俑珊瑚橙尺码:40（男）,鞋子收到了  不错 很喜欢
2019年09月09日 17:07,颜色分类:纯白冰激凌尺码:43（男）,挺好的，材质和舒适感都行
