2019年10月02日 08:44,颜色分类:米白色尺码:40,鞋帮高度：合适，可能增加身高 鞋底材质：柔软不磨脚 舒适度：舒服 风格：喜欢 
2019年10月05日 18:33,颜色分类:粉红色尺码:34,款式很百搭  上脚很轻便  很舒服  透气的不闷脚  价格实惠  
2019年10月09日 06:49,颜色分类:黑色尺码:34,穿起来脚很舒服，鞋底很软，很透气。也很轻盈。很好看，百搭
2019年09月26日 08:51,颜色分类:粉红色尺码:36,鞋帮高度：合适 鞋底材质：柔软 舒适度：很舒适，鞋子也轻巧 风格：无色差，粉色很好看 
2019年09月29日 08:43,颜色分类:粉红色尺码:38,收到啦   不好意思  评价完了   鞋子颜色很好看  收到已经穿了一段时间   鞋底很软  已经买过几双  同事看着好看  也要了链接啦
2019年09月28日 15:55,颜色分类:黑色尺码:37,鞋帮高度：适合 鞋底材质：挺软的 舒适度：很舒服合脚 风格：是我喜欢的风格 
2019年10月04日 13:30,颜色分类:粉红色尺码:37,鞋子不磨脚穿，我穿质量也很好，经常在他家买
2019年10月02日 08:50,颜色分类:黑色尺码:39,鞋子很漂亮 穿着舒适百搭 推荐购买
2019年10月06日 12:12,颜色分类:粉红色尺码:34,宝贝已收到，过了好久才评，主要是想穿穿看有没有什么问题，结果鞋子一如既往的好。完美！
2019年10月02日 14:28,颜色分类:粉红色尺码:36,鞋子很好穿 推荐推荐 颜值高且百搭~
2019年09月29日 20:50,颜色分类:米白色尺码:34,鞋帮高度：很适合 鞋底材质：柔软 舒适度：非常舒适，不累脚 风格：百搭 
2019年10月02日 14:36,颜色分类:黑色尺码:36,非常舒服的鞋子，爱了！朋友都说好看，想要同款
2019年08月31日 23:10,,"评价方未及时做出评价,系统默认好评!"
2019年09月30日 15:30,,"评价方未及时做出评价,系统默认好评!"
2019年10月03日 10:22,颜色分类:黑色尺码:34,鞋子质量不错，颜色与图片相符，令人满意。
2019年09月26日 11:47,颜色分类:米白色尺码:38,鞋子收到很喜欢 穿着舒服透气 走路也不累 很满意 已经介绍给闺蜜 有需要还会再来
2019年09月27日 15:44,颜色分类:粉红色尺码:36,鞋子很舒服，不磨脚，尺码刚好，我买鞋就认准这家的，很喜欢
2019年09月26日 13:13,颜色分类:粉红色尺码:38,做工好，防滑耐磨大底，上脚舒服 
2019年10月03日 09:09,颜色分类:米白色尺码:39,这个鞋比较透气，适合夏天穿，是这家店的老买家了，所有的鞋都很喜欢，不错。
2019年09月27日 15:24,颜色分类:米白色尺码:35,这款鞋子收了后试穿了，很舒服，同事见了都说好看，比较满意的一次购物
2019年09月25日 07:27,颜色分类:黑色尺码:35,鞋帮高度：有点点高 鞋底材质：柔软 透气 舒适度：不夾腳 风格：黑色百搭，款式还可以 
2019年10月07日 08:50,颜色分类:粉红色尺码:38,质量很好，穿着很舒服，不打脚
2019年09月27日 23:40,颜色分类:粉红色尺码:36,鞋子很百搭，裙子裤子都ok，上脚又舒服
2019年10月06日 14:33,颜色分类:粉红色尺码:36,鞋子很好。质量也不错，喜欢
2019年10月09日 14:16,颜色分类:黑色尺码:38,舒服，好看，
2019年09月28日 22:57,颜色分类:粉红色尺码:37,很好的一款鞋子，工作上班游玩两不误，都是老粉了，还是一如既往的喜欢。
2019年09月30日 11:39,颜色分类:粉红色尺码:37,很喜欢他们家的鞋，好看不贵！好多朋友看后都让帮一起买。
2019年09月27日 21:40,颜色分类:米白色尺码:36,舒适度：这鞋子真的很不错，超级舒服，还超级透气的。 
2019年09月25日 12:42,颜色分类:粉红色尺码:37,特意买回家跑步的，透气特别好，穿着挺舒服的不磨脚，无限回购，喜欢的朋友放心下单吧
2019年09月29日 16:28,颜色分类:粉红色尺码:37,真心不错，大爱啊。洋气好看，上脚很舒适。
2019年09月22日 16:51,颜色分类:米白色尺码:37,宝贝收到，我是通过朋友介绍才决定买这款鞋，穿上感觉确实很舒服，对于我身高160的人来说穿这款鞋可以增加高度，非常喜欢，也感谢店家的耐心解答，以后会常来光顾，好评好评
2019年10月05日 16:14,颜色分类:米白色尺码:36,穿着很舒服
2019年09月20日 07:07,颜色分类:黑色尺码:35,透气又增高，是秋天首选~黑色好看，但是还想要双粉色哈哈哈&hellip;安利给朋友了！质量做工没得说！
2019年09月28日 11:40,颜色分类:粉红色尺码:38,自己买了一双，穿着舒服，同事看到非要帮忙也买一双，同事也是很的喜欢啦，
2019年09月30日 14:04,颜色分类:黑色尺码:36,还可以，穿脱很方便，挺软走路不累脚
2019年09月28日 21:47,颜色分类:粉红色尺码:37,非常好的鞋子，码数很准，穿着也很舒服！
2019年05月21日 20:13,,"评价方未及时做出评价,系统默认好评!"
2019年10月02日 12:13,颜色分类:米白色尺码:37,鞋子很好，快递也很快，卖家人很讲诚信，还会回购的，！
2019年09月23日 17:03,颜色分类:黑色尺码:37,好看，也好穿！鞋底超赞，走路很舒服！
2019年09月29日 08:53,颜色分类:粉红色尺码:38,鞋子很好，质量不错，主要穿着舒服，很洋气的，非常喜欢
2019年09月26日 19:56,颜色分类:黑色尺码:37,天凉了，一直想买一双小黑鞋，这个样子好看又保暖
2019年09月26日 18:37,颜色分类:粉红色尺码:35,宝贝收到了，每一双休闲鞋子都是这家买的，感觉特别符合我的风格，款式时尚，脚感舒服，最重要的事实惠又耐穿。
2019年09月26日 14:11,颜色分类:米白色尺码:39,在他家买过一次鞋，算是回头客了，质量不错，款式也好
2019年09月30日 15:28,颜色分类:米白色尺码:38,鞋子百搭，质量很好，推荐各位小仙女购买哦
2019年09月29日 14:24,颜色分类:米白色尺码:37,穿着好舒服啊，关键性价比高。，卖家服务很好，鞋子质量不错，我是等着穿一段时间来评论，不错很喜欢。
2019年09月27日 19:26,颜色分类:黑色尺码:36,鞋子质量超级好 物有所值 百搭又好看
2019年09月21日 14:32,颜色分类:粉红色尺码:35,鞋帮高度：合适 鞋底材质：柔软不硌脚 舒适度：不夹脚不磨脚 风格：简约时尚大方 
2019年09月25日 17:21,颜色分类:米白色尺码:37,鞋子透气又舒服，质量特别好，穿着跑步很舒服，不磨脚不累脚！好看特别值这个款式好看和图片一样没有色差！
2019年09月27日 07:52,颜色分类:米白色尺码:39,鞋帮高度：一直喜欢她家鞋子，鞋帮高度刚刚好 鞋底材质：柔软不硌脚 舒适度：不夹脚不磨脚，走长时间路也很舒适 
2019年10月02日 15:31,颜色分类:米白色尺码:37,很喜欢，不错的，推荐大家购买
2019年10月02日 23:17,颜色分类:米白色尺码:37,在这家买了好多次了 也帮朋友买了几次 质量挺好的
2019年09月30日 12:47,颜色分类:粉红色尺码:35,鞋子码数很正，脚感很好，发货很快，价格合适
2019年09月26日 13:10,颜色分类:粉红色尺码:34,鞋子还是一如既往的好，质量有保证，好评好评
2019年09月20日 16:20,颜色分类:粉红色尺码:37,除了喜欢还是喜欢，这款是我放入购物车半年了，对比了好多同款之后，下决心入手的，果然没有让我失望，开心&hellip;&hellip;
2019年10月07日 12:25,颜色分类:粉红色尺码:37,好评   很舒服
2019年09月28日 13:49,颜色分类:黑色尺码:36,鞋子超好看的呢，透气性蛮好的
2019年10月04日 08:41,颜色分类:粉红色尺码:36,超级舒服
2019年09月21日 16:46,颜色分类:黑色尺码:35,鞋帮高度：刚刚好 鞋底材质：软 舒适度：不夹脚 风格：挺好的  
2019年09月25日 17:29,颜色分类:黑色尺码:40,质量不错，穿上很舒服，一下买了两双
2019年09月29日 17:09,颜色分类:黑色尺码:36,鞋帮高度：很舒适 
2019年10月01日 21:46,颜色分类:粉红色尺码:35,颜色很漂亮，朋友也很喜欢。
2019年09月29日 10:59,颜色分类:米白色尺码:34,好看舒服我很喜欢
2019年09月22日 17:37,颜色分类:粉红色尺码:38,是真的超级舒服，还好看，而且还挺高的，我160觉得自己太矮了，穿了这个都有自信了
2019年09月26日 10:34,颜色分类:黑色尺码:35,鞋子收到了，物流很给力，码数很正，没有色差，款式也很新颖，好搭配衣服裤子，看看穿多几天会不会脚疼
2019年10月01日 16:27,颜色分类:粉红色尺码:36,运动鞋我只选他家穿的很舒服
2019年09月21日 08:38,颜色分类:粉红色尺码:40,质量好，颜色正。虽然是新鞋但是很软一点感觉不到磨脚。好评，绝对的好评！要买的亲们不要犹豫了。绝对的物有所值。
2019年09月29日 22:36,颜色分类:米白色尺码:39,老顾客啦，质量可以滴
2019年09月23日 09:30,颜色分类:米白色尺码:39,鞋帮高度：合适 鞋底材质：柔软 舒适度：舒服 风格：喜欢 
2019年09月30日 18:03,颜色分类:粉红色尺码:37,物超所值哦，穿上美美哒
2019年09月27日 16:03,颜色分类:粉红色尺码:36,特别好的一次网购，透气舒服，满意
2019年09月27日 14:01,颜色分类:粉红色尺码:37,挺好看的，质量挺好的，穿着舒服，很喜欢
2019年09月26日 13:09,颜色分类:米白色尺码:38,鞋子质量很好，一直在这家店买，很不错
2019年09月25日 17:29,颜色分类:黑色尺码:39,质量不错，穿上很舒服，一下买了两双
2019年09月24日 19:31,颜色分类:黑色尺码:35,高度合适，很透气，同事都说穿着漂亮。喜欢
2019年09月23日 20:38,颜色分类:黑色尺码:35,这鞋子太棒了，不磨脚，不挤脚，款式还好看，穿着逛一天街脚都不会累，值得购买
2019年09月26日 19:01,颜色分类:粉红色尺码:38,舒适度：很好 
2019年09月25日 08:54,颜色分类:粉红色尺码:39,很好，很喜欢 鞋帮高度：合适 鞋底材质：舒服 舒适度：不夹脚 风格：时尚 
2019年09月27日 13:15,颜色分类:粉红色尺码:39,宝贝不错哦，很舒服，超喜欢
