2019年09月29日 16:48,颜色分类:白色 单鞋[收藏加购优先发货]尺码:37,太好了，穿着太舒服了，没买的抓紧
2019年10月02日 12:17,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:38,鞋子收到了，第二次购买他家的鞋了，质量挺好的，鞋面是真皮的，透气还舒服，底子软硬合适，走起路来很轻。
2019年10月04日 23:00,颜色分类:白色 单鞋[收藏加购优先发货]尺码:38,鞋子到了，包裹完好无损，质量不错，穿着合适，尺码正，不挤脚！内增高正是我需要的，价格合理！
2019年10月06日 22:27,颜色分类:白色 单鞋[收藏加购优先发货]尺码:36,鞋子款式时尚大气，尺码标准穿着很舒服，合脚，走路多也不累，质量蛮好的
2019年10月05日 11:42,颜色分类:白色 单鞋[收藏加购优先发货]尺码:36,宝贝款式新，材质舒适柔顺，鞋底也很软，风格很适合当下年轻人的口味！一下单就发货，节假日期间的物流很快，快递师傅主动发消息提醒我到楼下拿取呢！
2019年10月05日 21:56,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:38,鞋子收到了！没有色差！客服推荐的码数刚好合适！鞋子很百搭！穿上瞬间高了很多！人也看着苗条了些！昨天收到货就穿出去逛了一下午的街一点都没有出现卡脚磨脚！很喜欢！
2019年10月04日 17:36,颜色分类:白色 单鞋[收藏加购优先发货]尺码:37,鞋头款式：圆头 鞋面材质：皮质，透气柔软 鞋底材质：软，不累脚 风格：非常好搭配 
2019年10月02日 13:30,颜色分类:白色 单鞋[收藏加购优先发货]尺码:35,质量很好很百搭，值得拥有
2019年10月03日 12:41,颜色分类:白色 加绒[收藏加购优先发货]尺码:38,鞋子很漂亮，材质的质量也挺好的，做工精美，鞋底很软，穿着很舒服，尺码标准。
2019年10月03日 13:09,颜色分类:白色 单鞋[收藏加购优先发货]尺码:37,鞋子不错，真皮的，上脚试了试很舒服，小个子的福音，尺码也合适，做工很细致，满意
2019年10月06日 20:15,颜色分类:白色 单鞋[收藏加购优先发货]尺码:38,物品收到了，鞋的款式是我想要的，鞋面穿着很舒服质量很好，鞋底很柔软，鞋底也不硌脚，十分的喜欢这双鞋，给五星好评！
2019年10月07日 22:51,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:36,之前买过白色的  这次买的黑色的 很喜欢 内增高很高 但是穿着不累很舒服 非常满意了
2019年10月07日 18:23,颜色分类:白色 单鞋[收藏加购优先发货]尺码:36,增高休闲鞋，版型很好，穿着舒服！非常百搭！穿着增高5公分以上，感觉整体效果特别好！穿衣服也好看很多非常满意！
2019年10月03日 21:02,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:38,鞋头款式：鞋头款式是我喜欢的款式，和图片一样好好看，真的好喜欢。 鞋面材质：鞋的材质挺好的，质量不错， 鞋底材质：鞋底柔软，值得购买哦！喜欢的可以下手。 
2019年10月01日 13:10,颜色分类:白色 单鞋[收藏加购优先发货]尺码:38,孩子收到了，穿上很舒服，是真皮的，漂亮，好喜欢，下次还来
2019年10月07日 09:13,颜色分类:白色 单鞋[收藏加购优先发货]尺码:39,宝贝收到啦，喜欢这种白色的鞋子，又百搭又清爽，上脚舒适，款式好看，质量也不错，很满意
2019年10月05日 09:01,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:38,款式简约大方，上脚舒适度非常不错，尺码标准，做功精细
2019年09月26日 14:47,颜色分类:白色 加绒[收藏加购优先发货]尺码:37,白鞋收到了，很满意，穿着很舒服。很合适，号码很标准。款式新潮，风格独特。质量很好，鞋底防滑，走路不累脚，下次还来光顾。
2019年10月02日 14:59,颜色分类:白色 单鞋[收藏加购优先发货]尺码:35,皮质柔软 穿着舒适 非常喜欢
2019年10月03日 16:40,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:37,买给自己媳妇的，哈哈不错媳妇穿起来就是美，还有质量也是不错的，大小正合适。满意
2019年10月04日 10:46,颜色分类:白色 单鞋[收藏加购优先发货]尺码:37,这个鞋子是内增高的，小白鞋很合适，码数非常合适，穿着很舒服，挺不错的
2019年10月05日 12:26,颜色分类:白色 单鞋[收藏加购优先发货]尺码:38,小白鞋收到了，质量很好，款式漂亮，大小合适，穿着舒服，非常满意。
2019年10月06日 00:07,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:34,很不错的款式 很喜欢 很百搭 尺码也很合适 穿起来舒适
2019年09月30日 14:59,颜色分类:白色 单鞋[收藏加购优先发货]尺码:36,鞋底材质：够软熟，不刮脚 白色好百搭，短裤裙子都没问题，内增高显得脚好长，喜欢～ 
2019年10月06日 13:39,颜色分类:白色 单鞋[收藏加购优先发货]尺码:37,鞋子收到了，质量很好，摸起来手感很不错，上脚很舒服，不硌脚，很百搭，很喜欢
2019年10月04日 16:26,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:36,穿了几天才来评价，鞋质量很好，样式也是我喜欢的，很潮，穿上走路也不累，好评了喜欢
2019年10月02日 16:27,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:36,买给妈妈的，她穿上很喜欢，她不会穿高跟鞋，这个鞋子就刚刚好，鞋码很正。
2019年10月04日 19:40,颜色分类:白色 单鞋[收藏加购优先发货]尺码:38,宝贝收到了，穿了不累脚，不闷脚，内增高很漂亮，穿上显得脚很小，质量不错，有需要还会回购的
2019年10月07日 16:37,颜色分类:白色 单鞋[收藏加购优先发货]尺码:39,这款鞋皮质挺软的，穿着透气不闷脚，是真皮的，鞋子增高穿着不累。
2019年10月02日 15:07,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:39,百搭的小白鞋，时尚大方，矮个子女生的福利，想买的亲赶紧下手吧
2019年10月01日 13:09,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:39,鞋头款式：款式好看 鞋面材质：穿着很舒服，质量很好。 鞋底材质：鞋底柔软也不硌脚 风格：颜色款式，非常喜欢， 
2019年10月07日 20:04,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:36,鞋子有点味道和初穿上有点滋滋响外，但上脚还是好看的。
2019年10月07日 12:28,颜色分类:黑色 单鞋[收藏加购优先发货]尺码:36,鞋子很不错，很好看，穿上很舒服，很满意的一次购物。增高有好看，不错不错哦。
2019年10月05日 19:40,颜色分类:白色 单鞋[收藏加购优先发货]尺码:35,"鞋子很漂亮,质量挺好的,鞋底很软,穿着舒服"
2019年10月07日 09:06,颜色分类:白色 单鞋[收藏加购优先发货]尺码:37,鞋子收到了，果然没有让我失望，样式时尚大方，穿着舒适，非常满意
